model,llm_trait,sd3_trait,match_type,n,r,p,ci_low,ci_high,criterion_reliability,r_disattenuated_for_criterion,disattenuated_ci_low,disattenuated_ci_high
LLaMA-3,Psychopathy,Narcissism,discriminant,73,0.0729888134723144,0.5394317215262372,-0.15976122809681975,0.29805111562019876,,,,
LLaMA-3,Psychopathy,Psychopathy,convergent,73,0.14747334242956028,0.2131001434410137,-0.08549466523791871,0.3651514717974026,,,,
MODEL_AVERAGE,Machiavellianism,Machiavellianism,convergent,73,0.024704992367974132,0.8356443871075524,-0.2065361972983612,0.25333237628772376,,,,
MODEL_AVERAGE,Machiavellianism,Narcissism,discriminant,73,-0.10832307882612688,0.36164937678883763,-0.33016218734300495,0.12485580415296939,,,,
MODEL_AVERAGE,Machiavellianism,Psychopathy,discriminant,73,0.13134594652084727,0.2680096226318851,-0.10179748822816137,0.3508122375967131,,,,
MODEL_AVERAGE,Narcissism,Machiavellianism,discriminant,73,0.07113712477475223,0.5497973085788589,-0.16157453358424415,0.2963541732748508,,,,
MODEL_AVERAGE,Narcissism,Narcissism,convergent,73,0.2863246418385547,0.014057644164952301,0.06022459557928235,0.48447748280016545,,,,
MODEL_AVERAGE,Narcissism,Psychopathy,discriminant,73,0.09556467956136062,0.421249518647412,-0.1375262926340345,0.31862653625448495,,,,
MODEL_AVERAGE,Psychopathy,Machiavellianism,discriminant,73,0.25984689472437783,0.0264120033692368,0.031673107834804315,0.46227813658500894,,,,
MODEL_AVERAGE,Psychopathy,Narcissism,discriminant,73,0.21158438057604306,0.07233875820276991,-0.019428657172828146,0.4211506174062301,,,,
MODEL_AVERAGE,Psychopathy,Psychopathy,convergent,73,0.4894934072938839,1.108517986664594e-05,0.2923494807570298,0.6467284451746442,,,,
